wb2,wm7,cm1,cm8,cm9a,cm9b,cm10,ma1,ma5,ind_id,women_WM,wmweight,ta1,ta2,ta3,ta4,ta5,ta6,ta7,ta8a,ta8b,ta8c,ta8d,ta8x,ta9,ta10,ta11,ta12a,ta12b,ta12d,ta12e,ta12x,ta13,ta14,ta15,ta16,ta17
36,1,1,2,NA,NA,2,1,NA,500302,1,0.20735728746781504,1,15,1,3,30,2,NA,,,,,,NA,1,1,A,,,,,30,1,7,30,3
NA,2,NA,NA,NA,NA,NA,NA,NA,500404,1,0,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,,,,,,NA,NA,NA,NA,NA
17,1,2,2,NA,NA,0,3,3,500405,1,0.20735728746781504,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
41,1,2,2,NA,NA,0,3,3,500407,1,0.20735728746781504,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,15,30,3
42,1,1,1,1,0,5,1,NA,500502,1,0.20735728746781504,1,10,1,3,30,2,NA,,,,,,NA,2,NA,,,,,,NA,1,7,30,3
15,1,2,2,NA,NA,0,3,3,500503,1,0.20735728746781504,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,12,10,2
28,1,1,2,NA,NA,3,1,NA,500602,1,0.20735728746781504,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,25,30,1
15,1,2,2,NA,NA,0,3,3,500606,1,0.20735728746781504,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
25,1,1,2,NA,NA,1,1,NA,500804,1,0.20735728746781504,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
17,1,2,2,NA,NA,0,1,NA,500807,1,0.20735728746781504,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
39,1,1,2,NA,NA,6,1,NA,500902,1,0.20735728746781504,1,18,1,3,30,2,NA,,,,,,NA,2,NA,,,,,,NA,1,7,30,2
17,1,2,2,NA,NA,0,1,NA,501004,1,0.20735728746781504,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,9,5,1
22,1,2,2,NA,NA,0,3,3,501104,1,0.20735728746781504,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
21,1,2,2,NA,NA,0,3,3,501105,1,0.20735728746781504,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
15,1,2,2,NA,NA,0,3,3,501106,1,0.20735728746781504,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
NA,2,NA,NA,NA,NA,NA,NA,NA,501110,1,0,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,,,,,,NA,NA,NA,NA,NA
21,1,2,2,NA,NA,0,3,3,501111,1,0.20735728746781504,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
41,1,1,1,1,0,5,1,NA,501202,1,0.20735728746781504,1,22,2,NA,NA,2,NA,,,,,,NA,1,1,,,,E,,30,1,17,30,2
20,1,2,2,NA,NA,0,3,3,501203,1,0.20735728746781504,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
48,1,1,1,0,1,10,1,NA,501302,1,0.20735728746781504,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,12,30,2
16,1,2,2,NA,NA,0,1,NA,501304,1,0.20735728746781504,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,9,6,1
26,1,1,2,NA,NA,3,1,NA,501402,1,0.20735728746781504,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,20,30,1
31,1,1,2,NA,NA,1,1,NA,501502,1,0.20735728746781504,1,17,2,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,5,30,1
24,1,1,2,NA,NA,1,1,NA,501504,1,0.20735728746781504,1,16,2,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,5,30,1
NA,2,NA,NA,NA,NA,NA,NA,NA,501507,1,0,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,,,,,,NA,NA,NA,NA,NA
49,1,1,2,NA,NA,2,1,NA,501603,1,0.20735728746781504,1,15,2,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,13,10,1
17,1,2,2,NA,NA,0,3,3,501604,1,0.20735728746781504,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,5,0,NA
38,1,1,2,NA,NA,3,1,NA,501605,1,0.20735728746781504,1,15,1,7,30,2,NA,,,,,,NA,2,NA,,,,,,NA,1,7,30,4
16,1,2,2,NA,NA,0,3,3,501606,1,0.20735728746781504,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,5,10,1
44,1,1,2,NA,NA,4,1,NA,501702,1,0.20735728746781504,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
24,1,2,2,NA,NA,0,1,NA,501704,1,0.20735728746781504,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
29,1,1,2,NA,NA,2,1,NA,501802,1,0.20735728746781504,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
19,1,2,2,NA,NA,0,3,3,502003,1,0.20735728746781504,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,15,0,NA
17,1,2,2,NA,NA,0,3,3,502403,1,0.20735728746781504,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
30,1,1,2,NA,NA,2,1,NA,502502,1,0.20735728746781504,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,17,30,1
48,1,1,2,NA,NA,5,1,NA,600102,1,0.22814876297115969,2,NA,NA,NA,NA,2,NA,,,,,,NA,1,1,,,,E,,30,1,6,30,2
18,1,2,2,NA,NA,0,1,NA,600104,1,0.22814876297115969,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,10,0,NA
22,1,2,2,NA,NA,0,3,3,600105,1,0.22814876297115969,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,17,7,1
26,1,2,2,NA,NA,0,3,3,600202,1,0.22814876297115969,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,10,0,NA
